FILE,LABEL,VALUE
calculation,from,loc_us-gaap_NetCashProvidedByUsedInOperatingActivities_ce0d7b63-a366-bc9b-79e1-780981e428fe
calculation,to,loc_us-gaap_IncreaseDecreaseInOtherNoncurrentLiabilities_2aae5a95-d2bb-f83c-eefc-57ef1463b480
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_NetIncomeLoss
calculation,label,loc_us-gaap_NetIncomeLoss_e170ce1e-c3a8-e8ee-88b0-37e8dd7b1d11
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,4
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_NetCashProvidedByUsedInOperatingActivities_ce0d7b63-a366-bc9b-79e1-780981e428fe
calculation,to,loc_us-gaap_NetIncomeLoss_e170ce1e-c3a8-e8ee-88b0-37e8dd7b1d11
calculation,type,arc
calculation,item_type,calculation_loc
calculation,href,http://xbrl.fasb.org/us-gaap/2019/elts/us-gaap-2019-01-31.xsd#us-gaap_DepreciationDepletionAndAmortization
calculation,label,loc_us-gaap_DepreciationDepletionAndAmortization_ebef248a-da21-637d-9d28-3d42ff90e8e2
calculation,type,locator
calculation,item_type,calculation_calculationArc
calculation,order,5
calculation,weight,1
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_NetCashProvidedByUsedInOperatingActivities_ce0d7b63-a366-bc9b-79e1-780981e428fe
